,product_name,product_price,product_desc,product_img_url,product_buy_link
0,Mini Pro 4 Bluetooth Earphone TWS Wireless Headphones Sport Gaming Headset Earbuds,RM13.80,47% Off,https://lzd-img-global.slatic.net/g/p/de2b42781e0710b77d83543eb831c2de.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/mini-pro-4-bluetooth-earphone-tws-wireless-headphones-sport-gaming-headset-earbuds-i1879844211.html
1,i7s i12 Tws Wireless Bluetooth Earphones Mini Stereo Bass Earphone Earbuds Sport Headset with Charging Box for iPhone Xiaomi Huawei,RM2.58,67% Off,https://lzd-img-global.slatic.net/g/p/00a7a8dd58580986ac7564a76254c66c.png_400x400q75.png_.webp,https://www.lazada.com.my/products/i7s-i12-tws-wireless-bluetooth-earphones-mini-stereo-bass-earphone-earbuds-sport-headset-with-charging-box-for-iphone-xiaomi-huawei-i954370300.html
2,Pro6 True Wireless Earbuds Bluetooth Earphone Touch Control with Mic Waterproof TWS Stereo Headphone Headset Sport,RM11.80,65% Off,https://lzd-img-global.slatic.net/g/p/14a60b5b72480c7f7ef5c3bd9dee69b5.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/pro6-true-wireless-earbuds-bluetooth-earphone-touch-control-with-mic-waterproof-tws-stereo-headphone-headset-sport-i2077680090.html
3,M10 TWS Bluetooth Earphone LED Light Display Wireless Earbuds Headset With Mic,RM9.80,75% Off,https://lzd-img-global.slatic.net/g/p/5472ba32f3af5907881c24686c634570.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/m10-tws-bluetooth-earphone-led-light-display-wireless-earbuds-headset-with-mic-i3800843412.html
4,[Free Gift]YurKem i12 TWS Stereo Wireless 5.0 Bluetooth Earphone In-Ear Mini Earbuds Gaming Sport Headset With Charging Box Mic For IPhone Android Xiaomi Smartphones,RM17.00,50% Off,https://my-live-05.slatic.net/p/a565f3f91c1d1cd2b11bd4f9be1d28e8.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/free-giftyurkem-i12-tws-stereo-wireless-50-bluetooth-earphone-in-ear-mini-earbuds-gaming-sport-headset-with-charging-box-mic-for-iphone-android-xiaomi-smartphones-i656542863.html
5,i7s Bluetooth Earphone TWS Wireless Earbuds Headphone Wireless Headset,RM9.50,76% Off,https://my-live-05.slatic.net/p/245f74ac26a3ee0b78f2b28bdad53185.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/i7s-bluetooth-earphone-tws-wireless-earbuds-headphone-wireless-headset-i3201796312.html
6,M10 G11 Smart TWS Wireless Earphone Bluetooth 5.0 Earbud Touch In-ear 9D Stereo Sports with Mic headset  headphone 耳机,RM2.80,3% Off,https://my-live-05.slatic.net/p/3cb5021ee5963770a91293689ae3483b.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/m10-g11-smart-tws-wireless-earphone-bluetooth-50-earbud-touch-in-ear-9d-stereo-sports-with-mic-headset-headphone-i3583094049.html
7,VAORLO Pro6 True Wireless Earbuds Bluetooth Earphone Touch Control with Mic Waterproof TWS Stereo Headphone Headset Sport,RM11.97,48% Off,https://lzd-img-global.slatic.net/g/p/14a60b5b72480c7f7ef5c3bd9dee69b5.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/vaorlo-pro6-true-wireless-earbuds-bluetooth-earphone-touch-control-with-mic-waterproof-tws-stereo-headphone-headset-sport-i3644484312.html
8,M90 Pro Headet Bluetooth Earphone Wireless Earbuds Stereo Bass Touch Control LED Digital Display With Microphone,RM12.90,48% Off,https://my-live-05.slatic.net/p/b4c0760c26edf29acaf2bdee2c4dc543.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/m90-pro-headet-bluetooth-earphone-wireless-earbuds-stereo-bass-touch-control-led-digital-display-with-microphone-i3742279007.html
9,BT30 Transparent Digital TWS Wireless Bluetooth Headphones Bilateral Stereo Heavy Bass Copper Ring Horn,RM12.54,52% Off,https://my-live-05.slatic.net/p/0f075db3998d552e5f3a0f178b232117.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/bt30-transparent-digital-tws-wireless-bluetooth-headphones-bilateral-stereo-heavy-bass-copper-ring-horn-i3867133545.html
10,M10 Bluetooth Wireless Headphones Sport Gaming Earbuds LED Display Headset With Mic,RM11.99,52% Off,https://sg-live-05.slatic.net/p/3a6b414b2a6fdf6bbb7b94c1c3126b61.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/m10-bluetooth-wireless-headphones-sport-gaming-earbuds-led-display-headset-with-mic-i3512240136.html
11,Tecsire M19 TWS Earbuds Wireless Earphone Bluetooth 5.1 HiFi Bass Stereo Headset Waterproof Touch Control With LED Digital Display Microphone,RM26.39,64% Off,https://my-live-05.slatic.net/p/e2bdd956babfa08b2d51d8eb7d7d564e.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/tecsire-m19-tws-earbuds-wireless-earphone-bluetooth-51-hifi-bass-stereo-headset-waterproof-touch-control-with-led-digital-display-microphone-i2244763006.html
12,TWS Gaming Bluetooth Earphone Touch Control Bluetooth Gaming Headphone LED Display Wireless Earbuds Headset For Gaming No Delay,RM17.90,74% Off,https://my-live-05.slatic.net/p/9fd1bc2a78359c30ca658a0c5d21ff33.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/tws-gaming-bluetooth-earphone-touch-control-bluetooth-gaming-headphone-led-display-wireless-earbuds-headset-for-gaming-no-delay-i3201682412.html
13,A6s TWS Bluetooth Earphone In-Ear Earbuds Bluetooth 5.0 Airdots Wireless Headset With Mic,RM9.90,75% Off,https://my-live-05.slatic.net/p/cd54065d53ba671aa996d44bca360f86.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/a6s-tws-bluetooth-earphone-in-ear-earbuds-bluetooth-50-airdots-wireless-headset-with-mic-i3593313157.html
14,Bluetooth Earphone M10 Wireless Earbuds 9D Stereo Bass Earbud Game Headphone Fon Telinga Bluetooth,RM9.25,54% Off,https://sg-live-05.slatic.net/p/3b70141befe0122258e04e505cffb458.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/bluetooth-earphone-m10-wireless-earbuds-9d-stereo-bass-earbud-game-headphone-fon-telinga-bluetooth-i3892919980.html
15,HQAI H1 TWS Bluetooth Earphones Stereo Wireless Bluetooth Headphones IPX7 Waterproof Sport Headset Build-in MIC Headset For All Smart Phones,RM9.90,86% Off,https://my-live-05.slatic.net/p/291c2b399466adc26c9616e517316e16.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/hqai-h1-tws-bluetooth-earphones-stereo-wireless-bluetooth-headphones-ipx7-waterproof-sport-headset-build-in-mic-headset-for-all-smart-phones-i3176322463.html
16,M90 Wireless Bluetooth Earphones LED Digital Display Sport Gaming Earbuds With Microphone,RM12.99,32% Off,https://sg-live-05.slatic.net/p/60030fd012e91775f440a3524a349792.jpg_400x400q75.jpg_.webp,https://www.lazada.com.my/products/m90-wireless-bluetooth-earphones-led-digital-display-sport-gaming-earbuds-with-microphone-i3869042454.html
17,MIXTONE X15 Gaming Earbuds Wireless Earphone Bluetooth 5.0 Low Latency Touch Control Noise Cancelling Microphone,RM17.49,64% Off,https://filebroker-cdn.lazada.com.my/kf/S369113ebb6274e4aba349f21cab369bbP.jpg,https://www.lazada.com.my/products/mixtone-x15-gaming-earbuds-wireless-earphone-bluetooth-50-low-latency-touch-control-noise-cancelling-microphone-i2267864567.html
